lecture_id,questions,answer,source_sentence,entity,,,
4,What is the function of the demarcation point?,Separates customer equipment from service provider equipment,The demarcation point separates customer equipment from service provider equipment.,MISC,,,
4,What does the local loop connect?,Connects CPE to the central office (CO),The local loop (“last mile”) connects the CPE to the central office (CO).,MISC,,,
4,What do CSU/DSU devices do?,Convert and monitor digital-leased lines,CSU/DSU converts and monitors digital-leased lines.,MISC,,,
4,What is a common example of circuit-switched WAN technology?,PSTN and ISDN,The public switched telephone network (PSTN) and Integrated Services Digital Network (ISDN) are common circuit-switched WAN technologies.,ORG,,,
4,What is Frame Relay used for?,Layer 2 WAN technology with PVCs identified by DLCI,Frame Relay is a Layer 2 WAN technology with PVCs identified by DLCI.,MISC,,,
4,What is ATM technology capable of transferring?,"Voice, video, and data","ATM is a cell-based WAN technology capable of transferring voice, video, and data.",MISC,,,
4,What does MPLS use instead of IP addresses?,Short path labels,MPLS directs data using short path labels instead of IP addresses.,MISC,,,
4,What does VSAT provide?,Private WAN connectivity via satellite,VSAT provides private WAN connectivity via satellite in remote locations.,MISC,,,
4,What does DSL use for high-bandwidth data?,Twisted-pair telephone lines,DSL provides always-on connection using existing twisted-pair telephone lines.,MISC,,,
4,What does a cable modem provide?,Broadband Internet access using coaxial cable,Cable modems provide broadband Internet access using coaxial cable.,MISC,,,
4,What is WiMAX coverage similar to?,Cell phone coverage,WiMAX provides high-speed broadband similar to cell phone coverage.,MISC,,,
4,How fast is satellite Internet upload speed compared to download?,About one-tenth,Satellite Internet uses VSAT for two-way data communication with remote locations.,QUANTITY,,,
4,Why are VPNs used?,To provide encrypted connections over the Internet,VPNs provide encrypted connections over the Internet for remote access.,MISC,,,
5,What encapsulation should be used to connect non-Cisco routers?,PPP,PPP encapsulation should be used when there is a need to connect to a non-Cisco router.,MISC,,,
5,What are the main components of PPP?,"HDLC-like framing, LCP, NCPs","PPP contains three main components: HDLC-like framing, LCP, and NCPs.",MISC,,,
5,What authentication protocols are supported by PPP?,PAP and CHAP,"PPP includes many features not available in HDLC: link quality management, PAP, CHAP authentication.",MISC,,,
5,What is the function of LCP in PPP?,"Establishes, configures, and tests the data-link connection","LCP functions within the data link layer and has a role in establishing, configuring, and testing the data-link connection.",MISC,,,
5,What does NCP allow in PPP?,Multiple network layer protocols on the same link,PPP permits multiple network layer protocols to operate on the same communications link using NCPs.,MISC,,,
5,What fields are included in a PPP frame?,"Flag, Address, Control, Protocol, Data, FCS","A PPP frame includes Flag, Address, Control, Protocol, Data, and FCS fields.",MISC,,,
5,What happens in Phase 1 of a PPP session?,Link establishment and configuration negotiation,PPP Session Phase 1: Link establishment and configuration negotiation.,MISC,,,
5,What happens after data transfer completes in PPP?,LCP terminates the link,"After the transfer of data at the network layer completes, the LCP terminates the link.",MISC,,,
5,What options can PPP configure for enhanced functionality?,"Authentication, Compression, Multilink","PPP Configuration Options: Authentication (PAP/CHAP), Compression (Stacker/Predictor), Multilink to increase WAN bandwidth.",MISC,,,
5,How does PAP authentication work?,Sends username and password in plaintext,PAP is a very basic two-way process with no encryption.,MISC,,,
5,How does CHAP authentication work?,Involves a three-way exchange of a shared secret,CHAP is more secure than PAP and involves a three-way exchange of a shared secret.,MISC,,,
5,What command specifies the authentication method order in PPP?,ppp authentication interface configuration,Use the ppp authentication interface configuration command to specify PAP/CHAP order.,MISC,,,
5,What is the purpose of PPP multilink?,Spreads traffic across multiple physical WAN links,PPP multilink allows spreading traffic across multiple physical WAN links.,MISC,,,
5,What is a point-to-point connection used for?,Connects LANs to WANs via dedicated paths,Point-to-point connections link LANs to WANs and provide dedicated paths for geographically distant sites.,MISC,,,
5,What is bandwidth in WAN communications?,Rate of data transfer over the communication link,Bandwidth refers to the rate at which data is transferred over the communication link.,QUANTITY,,,
6,What type of cable carries RF signals for cable systems?,Coaxial cable,Cable system uses a coaxial cable that carries radio frequency (RF) signals across the network.,TECH,,,
6,What is the main advantage of DSL over cable technology?,DSL is not a shared medium; each user has a direct connection,Advantage of DSL over cable technology is that DSL is not a shared medium.,TECH,,,
6,Name the three main broadband wireless technologies.,"Municipal Wi-Fi, Cellular/mobile, Satellite Internet","Three main broadband wireless technologies: Municipal Wi-Fi, Cellular/mobile, Satellite Internet.",TECH,,,
6,What speeds does LTE Category 10 support?,"450 Mb/s download, 100 Mb/s upload",LTE Category 10 supports up to 450 Mb/s download and 100 Mb/s upload.,QUANTITY,,,
6,What is the maximum MTU size for PPPoE?,1492 bytes,MTU should be set to 1492 to accommodate PPPoE headers.,QUANTITY,,,
6,What is a VPN?,A private network created via tunneling over a public network,"VPN is a private network created via tunneling over a public network, usually the Internet.",TECH,,,
6,What is DMVPN?,A Cisco software solution for building multiple VPNs,DMVPN is a Cisco software solution for building multiple VPNs.,TECH,,,
6,What is GRE?,"A non-secure, site-to-site VPN tunneling protocol developed by Cisco","GRE is a non-secure, site-to-site VPN tunneling protocol developed by Cisco.",TECH,,,
6,What protocol number does GRE use in the IP header?,47,GRE is defined as an IETF standard (RFC 2784) and uses protocol number 47 in the IP header.,QUANTITY,,,
6,How can eBGP be verified?,"show ip route, show ip bgp, show ip bgp summary","Three commands to verify eBGP: show ip route, show ip bgp, show ip bgp summary.",TECH,,,
7,Who said the purpose of front-end development is to make things easy to use and good to look at?,Rebecca Murphey,“The purpose of front-end development is to make things that are easy to use and good to look at. - Rebecca Murphey,PERSON,,,
7,What are the main programming languages for front-end development?,"Javascript, CSS, HTML","Programming Language Frameworks: Javascript, CSS, HTML",MISC,,,
7,What attacks can make your web page more risky?,"DoS attacks, CSRF, XSS attacks","Frontend Security: Attacks that can make your web page more risky: DoS (denial of service) attacks, Preventing cross-site request forgery (CSRF), Cross-site scripting (XSS) attacks",MISC,,,
7,What does Back-End Development involve?,"Logic, database, and server-side operations behind the scenes","Back-End Development involves the logic, database, and other operations that are built behind the scenes to run the web servers efficiently.",MISC,,,
7,What is an API?,A collection of communication protocols and subroutines used by programs to communicate,API (Application Programming Interface) full form is an Application Programming Interface that is a collection of communication protocols and subroutines used by various programs to communicate between them.,MISC,,,
7,What is REST in API architecture?,Popular and widely used API architecture style using HTTP requests,"REST (Representational State Transfer) - Popular and widely used API architecture style. RESTful APIs uses Http request to post, create, put, update, get, read and delete.",MISC,,,
7,What is SOAP in API architecture?,"Older technology using XML messaging format, known for reliability and security",SOAP (Simple Object Access Control) - An older technology that uses XML as its messaging format. SOAP APIs are known for their reliability and security.,MISC,,,
7,What is GraphQL?,"A query language for API developed by Facebook, known for flexibility and efficiency",GraphQL - This is a query language for API that was developed by Facebook. …,ORG,,,
7,What is gRPC?,A high-performance remote procedure call framework for building efficient and scalable APIs,gRPC - This is a high performance open source remote procedure call framework that is widely used for building APIs. …,MISC,,,
7,What is Web Sockets?,A protocol for bidirectional real-time communication between client and server,Web Sockets - This is a protocol for bidirectional real time communication between a client and the server.,MISC,,,
7,What are the types of API usage policies?,"Private, Partner, Public","Restrictions of Using APIs: Three main types of policies governing APIs - Private, Partner, Public",MISC,,,
8,What are the objectives of programming constructs and paradigms?,Analyze Relevant Tools and Standards for Effective Implementation; Analyze Applicable Standards and Engineering Constraints,Analyze Relevant Tools and Standards for Effective Implementation. / Analyze Applicable Standards and Engineering Constraints.,MISC,,,
8,What is a programming paradigm?,"A method to solve a problem using tools, techniques, and programming languages following an approach",Paradigm can also be termed as method to solve some problem or do some task. / Programming paradigm is an approach to solve problem using some programming language …,MISC,,,
8,What is Imperative Programming Paradigm?,One of the oldest paradigms; works by changing program state through assignment statements,Imperative Programming Paradigm is one of the oldest programming paradigms. / It works by changing the program state …,MISC,,,
8,What is Parallel Processing Approach?,Processing program instructions by dividing them among multiple processors,Parallel processing is the processing of program instructions by dividing them among multiple processors.,MISC,,,
8,What is Declarative Programming?,Programming style expressing logic without control flow,Declarative programming is a style that expresses logic of computation without talking about control flow.,MISC,,,
8,What are the divisions of Declarative Programming?,"Logic, Functional, Database","Declarative Programming Paradigm is Divided into: Logic, Functional, Database.",MISC,,,
8,What is Pseudo Code?,Informal high-level description to plan and organize code,Using Pseudo Codes: Pseudo Codes is an informal language that describes steps to solve a problem or to write a program.,MISC,,,
8,What are the benefits of Pseudo Codes?,"Improves readability, eases maintenance, facilitates team communication","Benefits of Using Pseudo Codes: Improves code readability, eases maintenance, facilitates team communication.",MISC,,,
8,What are Control Structures Guidelines?,"Rules for efficient use of control flow statements like if-else, loops, switch-case",Control Structures Guidelines are the set of rules programmers should follow to use control structures efficiently.,MISC,,,
8,What are Documentation Guidelines?,"Proper comments, clear naming, meaningful names, proper white space","Documentation Guidelines include proper use of comments, clear naming conventions, meaningful function and variable names, proper use of white space.",MISC,,,
9,What are animals with spines or backbones called?,Vertebrates,Group of animals with spines or backbones are called vertebrates animals.,MISC,,,
9,Explain reptiles.,Cold-blooded vertebrates that can live on land and water but are more adapted to land.,Reptiles are cold-blooded vertebrates that can also live in land and water but are more adapted to living to living on land than amphibians.,MISC,,,
9,Explain mammals.,Warm-blooded animals that have mammary glands used to feed their young.,Mammals are warm blooded animals that have mammary glands used to feed their young.,MISC,,,
9,What are animals without backbones called?,Invertebrates,Invertebrates form the greater part of animal species. They are animals without backbone.,MISC,,,
9,Explain amphibians.,Cold-blooded vertebrates that can breathe through their skin and lungs.,Amphibians are cold-blooded vertebrates that can breath through their skin and lungs.,MISC,,,
9,Explain birds.,Warm-blooded vertebrates that have wings and are covered with feathers.,Birds are warm-blooded vertebates that have wings and covered with feathers.,MISC,,,
9,What is an ecosystem?,All the living and non-living things that interact in an area.,Ecosystem: All the living and non-living things that interact in an area.,MISC,,,
9,What is a food chain?,The flow of energy of one organism eating another organism.,Food Chain: The flow of energy of one organism eating another organism.,MISC,,,
9,What is a habitat?,The place where the organism lives and provides the things that the organism needs to survive.,Habitat: The place where the organism lives and provides the things that the organism needs to survive.,MISC,,,
9,Explain a decomposer.,Organisms that get energy by breaking down waste and remains of dead organisms into smaller molecules.,Decomposer organism that gets their energy by breaking down the waste and remains of dead organisms into smaller molecules.,MISC,,,
9,Explain a consumer.,Organisms that get food and energy by eating other organisms.,Consumer organisms that get their food and energy by eating other organisms.,MISC,,,
9,Explain a producer.,Organisms that produce their own food and energy.,Producer organisms that produce their own food and energy.,MISC,,,
10,What is Word?,A full-featured word-processing application that allows you to create professional-looking documents and revise them easily.,Word is a full-featured word-processing application that allows you to create professional-looking documents and revise them easily.,MISC,,,
10,What is the Ribbon in Word?,The control center of Word containing tabs and groups of commands.,"Ribbon – the Control Center of Word Tabs (Home, Insert, Draw, Design, Layout, References, Mailings, Review, View, and Help) groups of commands.",MISC,,,
10,What are the two important Word file versions?,.doc (Word 97–2003 Document) and .docx (Word Document).,Two Word versions are especially important to note: .doc (Word 97–2003 Document) and .docx (Word Document).,MISC,,,
10,What Word version will be used this semester?,.docx Word documents.,"This semester, we’ll work with .docx Word documents (create, modify, and submit as HW).",MISC,,,
10,What is Word-Wrap?,Word continues long sentences on the next line automatically.,"Word-Wrap: Word continues long sentences on next line automatically, so you don’t have to click ENTER when the I-beam reaches the right edge of the page.",MISC,,,
10,"What must you do before copying, pasting, cutting, or styling text?",You must first select the text.,"To copy, paste, cut, or apply style changes to text, you must first select it.",MISC,,,
10,What are some important text-editing buttons in Word?,"Bold, Italics, Underline, Strikethrough, and Scripts.","A few extremely useful text-editing buttons are on the Home tab inside the Font group: Bold, Italics, Underline, Strikethrough, and Scripts.",MISC,,,
10,How tall is 1 point in font size?,About 1/72 inch.,Points (pts) is the measurement unit of font sizes: about 1/72 inch in height.,QUANTITY,,,
10,What is a style or theme in Word?,A pre-prepared collection of character and paragraph formatting features.,Style or Theme = a pre-prepared collection of character and paragraph formatting features.,MISC,,,
10,"What is the function of Word’s Find, Replace, and Proof-Reading tools?","They let you search for text, replace it, and correct spelling or grammar errors in your document.","Finding, Replacing, and Proof-Reading Text Word lets you search for text in your document.",MISC,,,
11,What is conformity?,"It is the tendency to change perceptions, opinions, or behavior to match group norms.","Conformity is the tendency to change our perceptions, opinions, or behavior to match group norms.",MISC,,,
11,What is informational influence?,Influence that occurs when a person believes others are correct.,Informational influence occurs when a person believes others are correct in their judgment.,MISC,,,
11,What is normative influence?,Influence based on fear of negative social consequences.,Normative influence occurs when a person fears negative social consequences.,MISC,,,
11,How does group size affect conformity?,Larger groups increase conformity pressure.,Group size increases conformity pressure.,QUANTITY,,,
11,How do cultures differ?,In norms and expectations for conformity.,Cultures differ in social norms and in how strongly people are expected to follow them.,GPE,,,
12,What is compliance?,It is a change in behavior elicited by direct requests.,Compliance refers to changes in behavior elicited by direct requests.,MISC,,,
12,What makes people vulnerable to compliance?,Mindlessness can make them more vulnerable.,Mindlessness can make people more vulnerable to compliance.,MISC,,,
12,What does reciprocity obligate us to do?,Repay acts of kindness.,This norm obligates people to repay kindness.,MISC,,,
12,What cultural factor influences reciprocity?,Reciprocation wariness.,Cultures may differ in their wariness toward reciprocation.,GPE,,,
12,Why do people comply with unreasonable requests?,Because they feel uncomfortable refusing.,People often find it uncomfortable to refuse unreasonable requests.,MISC,,,
13,Who observed that people are easily led by authority figures?,Allen Funt.,Allen Funt observed how easily people are led by authority figures.,PERSON,,,
13,Who found transmitters more obedient than executants?,Wesley Kilham and Leon Mann.,Transmitters were more obedient than executants in Kilham and Mann’s study.,PERSON,,,
13,Who created a psychological harm obedience study?,Wim Meeus and Quinten Raaijmakers.,Meeus and Raaijmakers ordered participants to inflict psychological harm.,PERSON,,,
13,What is obedience?,Behavior change produced by commands of authority.,Obedience is behavior change produced by the commands of authority.,MISC,,,
13,What varies across cultures and generations?,Conformity rates.,Conformity rates vary across cultures and generations.,GPE,,,
14,What is Internet Psychology?,It is the study of human behavior within the digital landscape of the internet and electronic communications.,Internet Psychology is the study of human behavior within the digital landscape of the internet and electronic communication networks.,MISC,,,
14,What does Internet Psychology focus on?,"It focuses on how people behave, feel, and interact online.","It focuses on how people behave, feel, and interact online, integrating concepts from learning, communication, addiction, and therapy.",MISC,,,
14,What is the Internet of Behaviors?,A system that uses online data and AI to predict behavior.,The Internet of Behaviors uses online data and AI to predict human behavior.,MISC,,,
14,When did cyberpsychology emerge?,In the 1990s.,"In the 1990s, cyberpsychology emerged as researchers explored identity and anonymous interactions in online communities.",DATE,,,
14,What technologies expanded Internet Psychology studies in the 2020s?,"Virtual reality, augmented reality, and artificial intelligence.","In the 2020s, virtual reality, augmented reality, and AI expanded studies on human-AI interaction and digital adaptation.",DATE,,,
15,What is personality according to Cattell?,It permits prediction of what a person will do in a given situation.,Personality is that which permits a prediction of what a person will do in a given situation.,MISC,,,
15,What was Cattell’s main goal?,To predict how a person behaves in a stimulus situation.,Cattell’s goal was to predict how a person will behave in response to a stimulus situation.,MISC,,,
15,Who was Raymond Bernard Cattell?,A British-born American psychologist.,Raymond Bernard Cattell was a British-born American psychologist.,PERSON,,,
15,How many works did Cattell publish?,Over 500 articles and 43 books.,He published more than 500 articles and 43 books.,QUANTITY,,,
15,What does the 16PF represent?,Sixteen essential personality factors.,The 16 Personality Factors describe key dimensions of personality.,QUANTITY,,,
16,What is instrumentation?,"The design and use of measuring instruments to observe, measure, and control processes.","Instrumentation is the design, equipping, and use of measuring instruments to determine real-life conditions in a plant’s process for observation, measurement, and control.",MISC,,,
16,What does Instrumentation and Control Engineering study?,Measurement and control of process variables and related systems.,Instrumentation and Control Engineering (ICE) studies the measurement and control of process variables and the systems that use them.,ORG,,,
16,What is automatic control?,Control using PLCs or DCS to adjust processes without human intervention.,Automatic control uses systems such as PLCs or DCS to make real-time adjustments.,MISC,,,
16,What is process control?,Regulating process variables to maintain safe and efficient operation.,Process control maintains process variables within acceptable limits for safety and quality.,MISC,,,
16,What is a control system?,A system that regulates or directs another system to achieve desired outcomes.,A control system regulates or directs another system to achieve desired outcomes.,MISC,,,
17,What is measurement?,Determining the magnitude of a variable by comparing it to a standard unit.,Measurement involves determining the magnitude of a variable by comparing it to a standard unit.,MISC,,,
17,What is detection?,Identifying whether a variable is present or absent.,Detection identifies the presence or absence of a variable without quantifying it.,MISC,,,
17,What is the standard pneumatic signal range?,3 to 15 psi.,Pneumatic signals typically range from 3 to 15 psi.,QUANTITY,,,
17,What is the standard current signal range?,4 to 20 mA.,Electrical current signals typically range from 4 to 20 mA.,QUANTITY,,,
17,What is SCADA used for?,Monitoring and controlling plants remotely.,SCADA systems monitor and control plants and equipment remotely.,ORG,,,
18,Who invented the liquid-in-glass thermometer?,Galileo Galilei,"Galileo Galilei invented the liquid-in-glass thermometer, one of the first devices to measure temperature changes by liquid expansion and contraction (1592).",PERSON,,,
18,When was the first liquid-in-glass thermometer invented?,1592,"Galileo Galilei invented the liquid-in-glass thermometer, one of the first devices to measure temperature changes by liquid expansion and contraction (1592).",DATE,,,
18,Who created the first mercury thermometer?,Athanasius Kircher,"Athanasius Kircher created the first mercury thermometer in 1643, offering more precise and consistent measurements.",PERSON,,,
18,When was the mercury thermometer introduced by Kircher?,1643,"Athanasius Kircher created the first mercury thermometer in 1643, offering more precise and consistent measurements.",DATE,,,
18,Who developed the Fahrenheit scale?,Daniel Gabriel Fahrenheit,Daniel Gabriel Fahrenheit invented the mercury thermometer and the Fahrenheit scale in 1714.,PERSON,,,
19,Who invented the barometer?,Evangelista Torricelli,Evangelista Torricelli invented the barometer in 1643 and discovered atmospheric pressure and vacuum.,PERSON,,,
19,When was the barometer invented?,1643,Evangelista Torricelli invented the barometer in 1643 and discovered atmospheric pressure and vacuum.,DATE,,,
19,Who proved that air pressure decreases with altitude?,Blaise Pascal,Blaise Pascal demonstrated that air pressure decreases with altitude.,PERSON,,,
19,Who patented the Bourdon tube?,Eugène Bourdon,"Eugène Bourdon patented the Bourdon tube in 1849, still used today.",PERSON,,,
19,When was the Bourdon tube patented?,1849,"Eugène Bourdon patented the Bourdon tube in 1849, still used today.",DATE,,,
20,What is a pure obligation?,An obligation demandable at once without conditions,Every obligation whose performance does not depend upon a future or uncertain event is demandable at once (Art. 1179).,MISC,,,
20,What is a resolutory condition?,A condition that may extinguish an obligation,"Obligations with a resolutory condition are also demandable at once, subject to the effects of the event (Art. 1179).",MISC,,,
20,What makes an obligation indivisible?,Nature of obligation or intent of parties,Obligations may be divisible or indivisible depending on the nature or intent (Art. 1225).,MISC,,,
20,What is a penal clause?,A substitute for damages and interest,A penal clause substitutes damages and interest unless otherwise stipulated (Art. 1226).,MISC,,,
20,What happens if the main obligation is void?,The penal clause is also void,The nullity of the principal obligation also nullifies the penal clause (Art. 1230).,MISC,,,
21,What is Thailand often referred to as?,The Land of Smiles,Thailand is often referred to as “The Land of Smiles.”,MISC,,,
21,What is the capital of Thailand?,Bangkok,"BANGKOK Thailand's capital, a fast-buzzing city of over eight million people.",GPE,,,
21,What is the predominant religion in Thailand?,Theravada Buddhism,"The predominant religion in Thailand is Buddhism, specifically Theravada Buddhism.",MISC,,,
21,What is Thailand the largest exporter of?,Rice,"Thailand is the world largest exporter of rice, and it is the staple part of a Thai diet.",MISC,,,
21,Who is the most important poet in Thai literature?,Sunthorn Phu,"The most important poet in Thai literature was Sunthorn Phu, who is best known for his romantic adventure story Phra Aphai Mani and nine travel pieces called Nirats.",PERSON,,,
22,What is the main religion in Vietnam?,Buddhism,"Buddhism – main religion, temples, meditation.",MISC,,,
22,What does Filial Piety (Hiếu Thảo) mean?,Respect and obedience to parents and elders.,Filial Piety (Hiếu Thảo) - Respect and obedience to parents and elders.,MISC,,,
22,When did written Vietnamese literature first appear?,Around the 10th century.,First appeared around the 10th century.,DATE,,,
22,What languages were early literary works written in?,Han (classical Chinese) and chu nom.,"From the 10th century, literary works were written in Han (classical Chinese) and chu nom.",MISC,,,
22,Who wrote Chinh Phu Ngam?,Female poet Doan Thi Diem.,Well-known works written in chu nom included Chinh Phu Ngam by female poet Doan Thi Diem...,PERSON,,,
23,What is serial communication?,"Serial communication is the process of transmitting data in a sequential manner, one bit at a time, over a single wire or channel.","Serial communication refers to the process of transmitting data in a sequential manner, one bit at a time, over a single wire or channel.",MISC,,,
23,What is asynchronous serial communication?,"Asynchronous serial communication transmits data without a shared clock signal, using start and stop bits for synchronization.",Asynchronous serial communication is a method of transmitting data between two devices without the need for a shared clock signal.,MISC,,,
23,What is synchronous serial communication?,Synchronous serial communication transfers data using a shared clock signal.,Synchronous serial communication is a method of data transfer where the transmitter and receiver share a common clock signal.,MISC,,,
23,What is an interrupt?,A signal to the processor emitted by hardware or software indicating an event that needs immediate attention.,An interrupt is a signal to the processor emitted by hardware or software indicating an event that needs immediate attention.,MISC,,,
23,What are the types of interrupts?,Hardware interrupts and software interrupts.,Interrupts can be either hardware interrupts or software interrupts.,MISC,,,
24,What are the main groups of islands in Indonesia?,"Greater Sunda Islands, Lesser Sunda Islands, Moluccas, and Western New Guinea.",Its islands can be grouped into: 1. Greater Sunda Islands … 2. Lesser Sunda Islands … 3. Moluccas … 4. Western New Guinea …,LOC,,,
24,What religion is dominant in Indonesia?,Islam,"Islam is the dominant religion in Indonesia, with 88% of the population identifying as Muslim.",MISC,,,
24,How much of Indonesia's population identifies as Muslim?,88%,"Islam is the dominant religion in Indonesia, with 88% of the population identifying as Muslim.",PERCENT,,,
24,What is the significance of the poem Only in Poetry?,"It expresses true feelings, thoughts, and beauty through poetry and reflects Indonesian respect for language and culture.","The poem “Only in Poetry” expresses the poet’s belief that true feelings, thoughts, and beauty can only be fully expressed through poetry.",MISC,,,
24,What is the cultural belief reflected in Mrs. Geni in December?,"Marriage is a lifelong duty and social expectation, especially for women.","The story reflects the Indonesian cultural belief that marriage is a lifelong duty and social expectation, especially for women.",MISC,,,
25,What are block diagrams used for?,To present the high-level structure of a system or process.,Block Diagrams Are used to present the high-level structure of a system or process.,MISC,,,
